"","ECO_CLI","ID_SITE","DATE","effectif_jour_mean","peak_date"
"1","Alpine","05PL2",2009-03-04,0,2009-06-25
"2","Alpine","05PL2",2009-03-10,0,2009-06-25
"3","Alpine","05PL2",2009-03-18,0,2009-06-25
"4","Alpine","05PL2",2009-03-24,0,2009-06-25
"5","Alpine","05PL2",2009-03-31,0,2009-06-25
"6","Alpine","05PL2",2009-04-08,3,2009-06-25
"7","Alpine","05PL2",2009-04-14,87,2009-06-25
"8","Alpine","05PL2",2009-04-21,20,2009-06-25
"9","Alpine","05PL2",2009-04-28,1,2009-06-25
"10","Alpine","05PL2",2009-05-27,7,2009-06-25
"11","Alpine","09PL1",2009-03-03,0,2009-06-25
"12","Alpine","09PL1",2009-03-10,3,2009-06-25
"13","Alpine","09PL1",2009-03-17,7,2009-06-25
"14","Alpine","09PL1",2009-03-24,39,2009-06-25
"15","Alpine","09PL1",2009-03-31,0,2009-06-25
"16","Alpine","09PL1",2009-04-07,196,2009-06-25
"17","Alpine","09PL1",2009-04-15,36,2009-06-25
"18","Alpine","09PL1",2009-04-21,0,2009-06-25
"19","Alpine","09PL1",2009-04-28,31,2009-06-25
"20","Alpine","09PL1",2009-05-28,143,2009-06-25
"21","Alpine","09PL1",2009-06-23,5532,2009-06-25
"22","Alpine","09PL2",2009-03-03,0,2009-06-25
"23","Alpine","09PL2",2009-03-17,9,2009-06-25
"24","Alpine","09PL2",2009-03-24,27,2009-06-25
"25","Alpine","09PL2",2009-03-31,8,2009-06-25
"26","Alpine","09PL2",2009-04-07,192,2009-06-25
"27","Alpine","09PL2",2009-04-15,152,2009-06-25
"28","Alpine","09PL2",2009-04-21,0,2009-06-25
"29","Alpine","09PL2",2009-04-28,63,2009-06-25
"30","Alpine","09PL2",2009-05-28,27,2009-06-25
"31","Alpine","09PL2",2009-06-23,109,2009-06-25
"32","Alpine","38PL1",2009-03-10,0,2009-06-25
"33","Alpine","38PL1",2009-03-17,2,2009-06-25
"34","Alpine","38PL1",2009-03-24,0,2009-06-25
"35","Alpine","38PL1",2009-03-31,0,2009-06-25
"36","Alpine","38PL1",2009-04-07,17,2009-06-25
"37","Alpine","38PL1",2009-04-14,10,2009-06-25
"38","Alpine","38PL1",2009-04-21,14,2009-06-25
"39","Alpine","38PL1",2009-04-28,1,2009-06-25
"40","Alpine","38PL1",2009-05-27,55,2009-06-25
"41","Alpine","38PL1",2009-06-24,156,2009-06-25
"42","Alpine","73PL1",2009-03-03,0,2009-06-25
"43","Alpine","73PL1",2009-03-10,0,2009-06-25
"44","Alpine","73PL1",2009-03-17,0,2009-06-25
"45","Alpine","73PL1",2009-03-24,0,2009-06-25
"46","Alpine","73PL1",2009-03-31,0,2009-06-25
"47","Alpine","73PL1",2009-04-07,0,2009-06-25
"48","Alpine","73PL1",2009-04-14,3,2009-06-25
"49","Alpine","73PL1",2009-04-21,1,2009-06-25
"50","Alpine","73PL1",2009-04-28,8,2009-06-25
"51","Alpine","73PL1",2009-05-26,287,2009-06-25
"52","Alpine","73PL1",2009-06-23,18,2009-06-25
"53","Alpine","73PL2",2009-03-10,5,2009-06-25
"54","Alpine","73PL2",2009-03-17,1,2009-06-25
"55","Alpine","73PL2",2009-03-24,2,2009-06-25
"56","Alpine","73PL2",2009-03-31,1,2009-06-25
"57","Alpine","73PL2",2009-04-07,4,2009-06-25
"58","Alpine","73PL2",2009-04-14,12,2009-06-25
"59","Alpine","73PL2",2009-04-28,9,2009-06-25
"60","Alpine","73PL2",2009-05-26,148,2009-06-25
"61","Alpine","73PL2",2009-06-23,6,2009-06-25
"62","Alpine","74PL2",2009-03-04,0,2009-06-25
"63","Alpine","74PL2",2009-03-11,0,2009-06-25
"64","Alpine","74PL2",2009-03-18,0,2009-06-25
"65","Alpine","74PL2",2009-03-25,0,2009-06-25
"66","Alpine","74PL2",2009-04-01,0,2009-06-25
"67","Alpine","74PL2",2009-04-08,8,2009-06-25
"68","Alpine","74PL2",2009-04-15,251,2009-06-25
"69","Alpine","74PL2",2009-04-22,341,2009-06-25
"70","Alpine","74PL2",2009-05-27,716,2009-06-25
"71","Alpine","74PL2",2009-06-24,413,2009-06-25
"72","Atlantic","02PL2",2009-03-03,0,2009-06-25
"73","Atlantic","02PL2",2009-03-12,1,2009-06-25
"74","Atlantic","02PL2",2009-03-17,1,2009-06-25
"75","Atlantic","02PL2",2009-03-24,0,2009-06-25
"76","Atlantic","02PL2",2009-04-02,6,2009-06-25
"77","Atlantic","02PL2",2009-04-07,18,2009-06-25
"78","Atlantic","02PL2",2009-04-16,307,2009-06-25
"79","Atlantic","02PL2",2009-04-23,19,2009-06-25
"80","Atlantic","02PL2",2009-04-28,3,2009-06-25
"81","Atlantic","02PL2",2009-05-26,89,2009-06-25
"82","Atlantic","02PL2",2009-06-23,87,2009-06-25
"83","Atlantic","02PL3",2009-03-13,0,2009-06-25
"84","Atlantic","02PL3",2009-03-18,0,2009-06-25
"85","Atlantic","02PL3",2009-03-25,0,2009-06-25
"86","Atlantic","02PL3",2009-04-01,0,2009-06-25
"87","Atlantic","02PL3",2009-04-08,0,2009-06-25
"88","Atlantic","02PL3",2009-04-15,20,2009-06-25
"89","Atlantic","02PL3",2009-04-22,4,2009-06-25
"90","Atlantic","02PL3",2009-04-29,0,2009-06-25
"91","Atlantic","02PL3",2009-05-27,1,2009-06-25
"92","Atlantic","02PL3",2009-06-24,10,2009-06-25
"93","Atlantic","14PL1",2009-03-10,0,2009-06-25
"94","Atlantic","14PL1",2009-03-17,2,2009-06-25
"95","Atlantic","14PL1",2009-03-24,2,2009-06-25
"96","Atlantic","14PL1",2009-03-31,1,2009-06-25
"97","Atlantic","14PL1",2009-04-07,19,2009-06-25
"98","Atlantic","14PL1",2009-04-15,668,2009-06-25
"99","Atlantic","14PL1",2009-04-21,127,2009-06-25
"100","Atlantic","14PL1",2009-04-28,3,2009-06-25
"101","Atlantic","14PL1",2009-05-28,509,2009-06-25
"102","Atlantic","14PL1",2009-06-23,1340,2009-06-25
"103","Atlantic","14PL2",2009-03-11,2,2009-06-25
"104","Atlantic","14PL2",2009-03-18,0,2009-06-25
"105","Atlantic","14PL2",2009-03-25,0,2009-06-25
"106","Atlantic","14PL2",2009-04-01,0,2009-06-25
"107","Atlantic","14PL2",2009-04-08,100,2009-06-25
"108","Atlantic","14PL2",2009-04-15,1992,2009-06-25
"109","Atlantic","14PL2",2009-04-22,603,2009-06-25
"110","Atlantic","14PL2",2009-04-29,1014,2009-06-25
"111","Atlantic","14PL2",2009-05-28,316,2009-06-25
"112","Atlantic","16PL1",2009-03-03,0,2009-06-25
"113","Atlantic","16PL1",2009-03-10,12,2009-06-25
"114","Atlantic","16PL1",2009-03-17,86,2009-06-25
"115","Atlantic","16PL1",2009-03-24,15,2009-06-25
"116","Atlantic","16PL1",2009-03-31,3,2009-06-25
"117","Atlantic","16PL1",2009-04-07,251,2009-06-25
"118","Atlantic","16PL1",2009-04-14,778,2009-06-25
"119","Atlantic","16PL1",2009-04-21,174,2009-06-25
"120","Atlantic","16PL1",2009-04-28,15,2009-06-25
"121","Atlantic","16PL1",2009-05-29,4776,2009-06-25
"122","Atlantic","16PL1",2009-06-23,364,2009-06-25
"123","Atlantic","17PL1",2009-03-03,0,2009-06-25
"124","Atlantic","17PL1",2009-03-10,10,2009-06-25
"125","Atlantic","17PL1",2009-03-17,158,2009-06-25
"126","Atlantic","17PL1",2009-03-24,8,2009-06-25
"127","Atlantic","17PL1",2009-03-31,95,2009-06-25
"128","Atlantic","17PL1",2009-04-07,349,2009-06-25
"129","Atlantic","17PL1",2009-04-15,509,2009-06-25
"130","Atlantic","17PL1",2009-04-22,706,2009-06-25
"131","Atlantic","17PL1",2009-04-28,3,2009-06-25
"132","Atlantic","17PL1",2009-05-27,156,2009-06-25
"133","Atlantic","17PL1",2009-06-24,2449,2009-06-25
"134","Atlantic","17PL2",2009-03-03,0,2009-06-25
"135","Atlantic","17PL2",2009-03-10,36,2009-06-25
"136","Atlantic","17PL2",2009-03-17,0,2009-06-25
"137","Atlantic","17PL2",2009-03-24,4,2009-06-25
"138","Atlantic","17PL2",2009-03-31,0,2009-06-25
"139","Atlantic","17PL2",2009-04-07,101,2009-06-25
"140","Atlantic","17PL2",2009-04-15,0,2009-06-25
"141","Atlantic","17PL2",2009-04-22,83,2009-06-25
"142","Atlantic","17PL2",2009-04-28,4,2009-06-25
"143","Atlantic","17PL2",2009-05-27,72,2009-06-25
"144","Atlantic","17PL2",2009-06-24,4397,2009-06-25
"145","Atlantic","18PL1",2009-03-04,0,2009-06-25
"146","Atlantic","18PL1",2009-03-10,0,2009-06-25
"147","Atlantic","18PL1",2009-03-18,0,2009-06-25
"148","Atlantic","18PL1",2009-03-24,1,2009-06-25
"149","Atlantic","18PL1",2009-04-01,0,2009-06-25
"150","Atlantic","18PL1",2009-04-07,20,2009-06-25
"151","Atlantic","18PL1",2009-04-14,19,2009-06-25
"152","Atlantic","18PL1",2009-04-21,12,2009-06-25
"153","Atlantic","18PL1",2009-05-27,162,2009-06-25
"154","Atlantic","18PL3",2009-06-23,245,2009-06-25
"155","Atlantic","22PL1",2009-03-03,0,2009-06-25
"156","Atlantic","22PL1",2009-03-11,38,2009-06-25
"157","Atlantic","22PL1",2009-03-17,1,2009-06-25
"158","Atlantic","22PL1",2009-03-25,1,2009-06-25
"159","Atlantic","22PL1",2009-03-31,1,2009-06-25
"160","Atlantic","22PL1",2009-04-08,1,2009-06-25
"161","Atlantic","22PL1",2009-04-15,3742,2009-06-25
"162","Atlantic","22PL1",2009-04-22,1463,2009-06-25
"163","Atlantic","22PL1",2009-04-28,147,2009-06-25
"164","Atlantic","22PL1",2009-05-26,174,2009-06-25
"165","Atlantic","22PL1",2009-06-24,2595,2009-06-25
"166","Atlantic","22PL2",2009-03-04,0,2009-06-25
"167","Atlantic","22PL2",2009-03-11,6,2009-06-25
"168","Atlantic","22PL2",2009-03-17,1,2009-06-25
"169","Atlantic","22PL2",2009-03-25,36,2009-06-25
"170","Atlantic","22PL2",2009-03-31,0,2009-06-25
"171","Atlantic","22PL2",2009-04-08,48,2009-06-25
"172","Atlantic","22PL2",2009-04-15,3387,2009-06-25
"173","Atlantic","22PL2",2009-04-21,71,2009-06-25
"174","Atlantic","22PL2",2009-04-28,4,2009-06-25
"175","Atlantic","22PL2",2009-05-26,654,2009-06-25
"176","Atlantic","24PL1",2009-03-03,12,2009-06-25
"177","Atlantic","24PL1",2009-03-11,122,2009-06-25
