"","ECO_CLI","ID_SITE","DATE","effectif_jour_mean","peak_date"
"1","Alpine","05PL2",2009-06-25,4406,2009-06-25
"2","Alpine","05PL2",2009-07-24,1595,2009-06-25
"3","Alpine","05PL2",2009-08-14,1167,2009-06-25
"4","Alpine","05PL2",2009-09-18,86,2009-06-25
"5","Alpine","05PL2",2009-10-15,3,2009-06-25
"6","Alpine","05PL2",2009-10-21,2,2009-06-25
"7","Alpine","05PL2",2009-10-27,2,2009-06-25
"8","Alpine","05PL2",2009-11-03,0,2009-06-25
"9","Alpine","05PL2",2009-11-10,0,2009-06-25
"10","Alpine","05PL2",2009-11-17,45,2009-06-25
"11","Alpine","05PL2",2009-11-24,1,2009-06-25
"12","Alpine","05PL2",2009-12-01,0,2009-06-25
"13","Alpine","05PL2",2009-12-08,7,2009-06-25
"14","Alpine","05PL2",2009-12-15,0,2009-06-25
"15","Alpine","09PL1",2009-07-21,2300,2009-06-25
"16","Alpine","09PL1",2009-08-19,1,2009-06-25
"17","Alpine","09PL1",2009-09-18,140,2009-06-25
"18","Alpine","09PL1",2009-10-06,929,2009-06-25
"19","Alpine","09PL1",2009-10-15,3,2009-06-25
"20","Alpine","09PL1",2009-10-20,0,2009-06-25
"21","Alpine","09PL1",2009-10-27,3,2009-06-25
"22","Alpine","09PL1",2009-11-03,1,2009-06-25
"23","Alpine","09PL1",2009-11-10,0,2009-06-25
"24","Alpine","09PL1",2009-11-17,0,2009-06-25
"25","Alpine","09PL1",2009-11-24,0,2009-06-25
"26","Alpine","09PL1",2009-12-01,0,2009-06-25
"27","Alpine","09PL1",2009-12-08,1,2009-06-25
"28","Alpine","09PL1",2009-12-15,0,2009-06-25
"29","Alpine","09PL2",2009-07-21,76,2009-06-25
"30","Alpine","09PL2",2009-08-18,19,2009-06-25
"31","Alpine","09PL2",2009-09-18,41,2009-06-25
"32","Alpine","09PL2",2009-10-06,22,2009-06-25
"33","Alpine","09PL2",2009-10-15,2,2009-06-25
"34","Alpine","09PL2",2009-10-27,8,2009-06-25
"35","Alpine","09PL2",2009-11-03,0,2009-06-25
"36","Alpine","09PL2",2009-11-10,0,2009-06-25
"37","Alpine","09PL2",2009-11-17,24,2009-06-25
"38","Alpine","09PL2",2009-11-24,3,2009-06-25
"39","Alpine","09PL2",2009-12-01,0,2009-06-25
"40","Alpine","09PL2",2009-12-08,1,2009-06-25
"41","Alpine","09PL2",2009-12-15,0,2009-06-25
"42","Alpine","38PL1",2009-07-21,4355,2009-06-25
"43","Alpine","38PL1",2009-08-18,851,2009-06-25
"44","Alpine","38PL1",2009-09-15,78,2009-06-25
"45","Alpine","38PL1",2009-10-06,592,2009-06-25
"46","Alpine","38PL1",2009-10-13,2,2009-06-25
"47","Alpine","38PL1",2009-10-20,1,2009-06-25
"48","Alpine","38PL1",2009-10-27,7,2009-06-25
"49","Alpine","38PL1",2009-11-03,0,2009-06-25
"50","Alpine","38PL1",2009-11-10,0,2009-06-25
"51","Alpine","38PL1",2009-11-17,3,2009-06-25
"52","Alpine","38PL1",2009-11-25,1,2009-06-25
"53","Alpine","38PL1",2009-12-01,0,2009-06-25
"54","Alpine","38PL1",2009-12-08,0,2009-06-25
"55","Alpine","38PL1",2009-12-15,0,2009-06-25
"56","Alpine","73PL1",2009-07-21,167,2009-06-25
"57","Alpine","73PL1",2009-08-18,156,2009-06-25
"58","Alpine","73PL1",2009-09-15,85,2009-06-25
"59","Alpine","73PL1",2009-10-06,528,2009-06-25
"60","Alpine","73PL1",2009-10-13,11,2009-06-25
"61","Alpine","73PL1",2009-10-20,5,2009-06-25
"62","Alpine","73PL1",2009-10-27,0,2009-06-25
"63","Alpine","73PL1",2009-11-03,1,2009-06-25
"64","Alpine","73PL1",2009-11-10,0,2009-06-25
"65","Alpine","73PL1",2009-11-17,0,2009-06-25
"66","Alpine","73PL1",2009-11-24,0,2009-06-25
"67","Alpine","73PL1",2009-12-01,0,2009-06-25
"68","Alpine","73PL1",2009-12-08,0,2009-06-25
"69","Alpine","73PL1",2009-12-15,0,2009-06-25
"70","Alpine","73PL2",2009-07-21,5,2009-06-25
"71","Alpine","73PL2",2009-08-18,0,2009-06-25
"72","Alpine","73PL2",2009-09-15,0,2009-06-25
"73","Alpine","73PL2",2009-10-06,96,2009-06-25
"74","Alpine","73PL2",2009-10-13,14,2009-06-25
"75","Alpine","73PL2",2009-10-20,2,2009-06-25
"76","Alpine","73PL2",2009-10-27,40,2009-06-25
"77","Alpine","73PL2",2009-11-03,1,2009-06-25
"78","Alpine","73PL2",2009-11-10,0,2009-06-25
"79","Alpine","73PL2",2009-11-17,13,2009-06-25
"80","Alpine","73PL2",2009-11-24,9,2009-06-25
"81","Alpine","73PL2",2009-12-01,0,2009-06-25
"82","Alpine","73PL2",2009-12-08,0,2009-06-25
"83","Alpine","73PL2",2009-12-15,0,2009-06-25
"84","Alpine","74PL2",2009-07-23,1623,2009-06-25
"85","Alpine","74PL2",2009-08-19,2219,2009-06-25
"86","Alpine","74PL2",2009-09-17,906,2009-06-25
"87","Alpine","74PL2",2009-10-07,1817,2009-06-25
"88","Alpine","74PL2",2009-10-14,6,2009-06-25
"89","Alpine","74PL2",2009-10-21,113,2009-06-25
